,Unnamed: 0,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb
372,372,Liberty Mutual Insurance,Senior Data Scientist (remote),Remote,"$156,800 /yr (est.)",3.9,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Liberty Mutual is an equal opportunity employer. We will not tolerate discrimination on the basis of race, color, national origin, sex, sexual orientation, gender identity, religion, age, disability, veteran's status, pregnancy, genetic information or on any basis prohibited by federal, state or local law.

18"
373,373,"The Travelers Companies, Inc.",Sr Dir & Data Scientist,"Hartford, CT","Visit The Travelers Companies, Inc. Website",3.9,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"Company Summary
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Job Category
Analytics & Research
Target Openings
1
Travelers Data Scientists are taking the organization to the next level of intelligence by using advanced statistical techniques and machine learning algorithms. As a Sr. Director & Data Scientist, you will lead a team responsible for challenging conventional thinking and use data to communicate insights and tell the story to business and analytics leadership. You will also collaborate with technology partners to drive analytics out to our products in the marketplace, giving Travelers a competitive advantage."
374,374,Navy Federal Credit Union,Data Scientist II,Remote,"$126,650 /yr (est.)",4.0,10000+ Employees,1933,Self-employed,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"YOUR LIFE'S MISSION: POSSIBLE
You have goals, dreams, hobbies and things you’re passionate about.

What’s Important to You Is Important to Us
We’re looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen.

Don’t take our word for it."
375,375,USAA,Data Scientist I (100% Remote Available),"Von Ormy, TX",Visit USAA Website,3.7,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $50 million (USD),"Purpose of Job We are seeking a talented Data Scientist I for our San Antonio, TX; Plano, TX; Phoenix, AZ; Colorado Springs, CO; Tampa, FL and Charlotte, NC facility. This person may also work remotely in a 100% Remote Work Environment.

Candidate selected for this position is going to work with USAA enterprise data office data science team. They will leverage the advanced machine learning method to drive member insights and enhance member experience of the organization.

Job Requirements

About USAA
USAA knows what it means to serve. We facilitate the financial security of millions of U.S. military members and their families. This singular mission requires a dedication to innovative thinking at every level.

About USAA IT
Our most meaningful qualification isn't technical, it's human. Here, we don't just sit in front of a screen. We stand behind our 13 million members who rely on us every day.
We're proud of USAA's strong history -- and we're even more passionate about our future. That's why we have a team of supportive and collaborative hardworking technology professionals focused on doing more for our members. And why we're continuing to add innovative problem solvers to our team. With us, you'll find exciting challenges that inspire you to continue learning and growing.


Identifies and manages existing and emerging risks that stem from business activities and the job role.

Ensures risks associated with business activities are effectively identified, measured, monitored, and controlled.

Follows written risk and compliance policies and procedures for business activities.

Partners with other analysts across the organization to fully define business problems and research questions; Supports SME's on cross functional matrixed teams to solve highly complex work critical to the organization.

Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.

Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives.

Supports Subject Matter Experts (SME's) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation.

Works with IT to research architecture for new products, services, and features.

Develops algorithms and supporting code such that research efforts are based on the highest quality data.

Translates complex analytical and technical concepts to non-technical employees to enable understanding and drive informed business decisions.


Master's degree in Computer Science, Applied Mathematics, Quantitative Economics, Statistics, or related field.

6 additional years of related experience beyond the minimum required may be substituted in lieu of a degree.

4 years of related experience in predictive modeling, large data analysis and computer science.

Proficient knowledge of the function/discipline and demonstrated application of knowledge, skills and abilities towards work products.

Proficient level of business acumen in the areas of the business operations, industry practices and emerging trends.

Experience in data mining and statistical analysis.

Knowledge of Data Science principals and experience with data science methodologies.

Experience with any one of the following statistical and predictive modeling approaches: Gaussian Process; Markov Models; Hierarchical Clustering; K-Means; Linear Regression; Logistic Regression; Monte Carlo Simulation; Neural Networks.

When you apply for this position, you will be required to answer some initial questions. This will take approximately 5 minutes. Once you begin the questions you will not be able to finish them at a later time and you will not be able to change your responses.


Strong Python, SQL or Java skills.

Project experience with Graph Databases such as Neo4j, AWS Neptune or similar.

Worked with data platforms such as Hive in Hadoop, Spark, Snowflake.

Exposure to natural language processing (NLP), deep learning, computer vision,

Model risk experience, or hands-on experience taking models through development and model risk validation, at a financial institution guided by OCC 2011-12 and FRB SR 11-7.

Demonstrated ability to effectively communicate (written and oral) complex analytical and technical concepts to both technical and non-technical employees.

Java-based modeling capabilities (and more specifically agent-based modeling expertise, with knowledge of Anylogic a plus but not required).

The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.


USAA has an effective method for assessing market data and establishing ranges to ensure we remain competitive. You are paid within the salary range based on your experience and market position. The salary range for this skill is: $88,200 - $158,900 *
Employees may be eligible for pay incentives based on overall corporate and individual performance or at the discretion of the USAA Board of Directors.

Geographic pay differential is additional pay provided to eligible employees working in locations where market pay levels are above the national average.

will be addressed on an individual-basis for applicable roles that are consistently scheduled for non-core hours.


At USAA our employees enjoy best-in-class benefits to support their physical, financial, and emotional wellness. These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off program with paid holidays plus 16 paid volunteer hours, and various wellness programs. Additionally, our career path planning and continuing education assists employees with their professional goals.

Please click on the link below for more details.
USAA Total Rewards

Relocation assistance is Not Available for this position."
376,376,Altria,Data Scientist,"Richmond, VA",NoSalary,4.2,5001 to 10000 Employees,1919,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),"Overview:
Together We Change. Together we Evolve.

Are you passionate about transforming big data into a business strategy? Do you have experience in Data Analytics? Then join Altria as a Data Scientist, where your expertise will directly shape our marketing and sales vision. We’re a Fortune 200 company and a leading player in our industry and passionate about creating positive change. Working within a growing Advanced Analytics team, you’ll improve the way we collect, analyze, and use data as we help our adult tobacco consumers to make better choices.

Altria’s digital evolution

We’re undergoing an exciting transformation at Altria. Led by our new Chief Digital & Technology officer, we’re streamlining processes, improving customer experience, and using cutting-edge intelligence to forecast and respond to trends. Our digital strategy will improve experiences from product development to market, and as a, you’ll be at the heart of this business wide change.






Company Overview: Altria has a leading portfolio of tobacco products for U.S. tobacco consumers age 21+. Altria’s Vision through 2030 is to responsibly lead the transition of adult smokers to a non-combustible future. Altria is Moving Beyond Smoking™, leading the way in moving adult smokers away from cigarettes by taking action to transition millions to potentially less harmful choices - believing it is a substantial opportunity for adult tobacco consumers, Altria’s businesses and society. Altria’s wholly owned subsidiaries include the most profitable tobacco companies in their categories: Philip Morris USA Inc. (PM USA), U.S. Smokeless Tobacco Company LLC (USSTC), and John Middleton Co. (Middleton). Altria’s smoke-free portfolio includes Helix Innovations LLC (Helix), the maker of on! oral nicotine pouches, exclusive U.S. commercialization rights to the IQOS Tobacco Heating System®* and Marlboro HeatSticks®*, and an equity investment in JUUL Labs, Inc. (JUUL). Altria also owns equity investments in Anheuser-Busch InBev SA/NV (ABI), the world’s largest brewer, and Cronos Group Inc. (Cronos), a leading Canadian cannabinoid company. At Altria, we celebrate the power of diverse teams working together to shape our future. We are inspired to bring our best because our unique strengths are valued. We believe our personal success and progress should be guided by Our Cultural Aspiration, a new articulation of what we value and who we aspire to be, collectively. Our Cultural Aspiration respects and complements individual identity, embracing each other’s unique strengths, welcoming newcomers and developing the best, most inclusive and diverse teams. Join us as we work together to shape a better future for adult tobacco consumers, our employees, and our shareholders. Each Altria company is an equal opportunity employer. Learn more about Altria at www.altria.com and follow us on Twitter, Facebook and LinkedIn. *IQOS Devices and HeatSticks® are currently unavailable for sale in the United States."
377,377,"The Travelers Companies, Inc.",Data Scientist,"Hartford, CT","Visit The Travelers Companies, Inc. Website",3.9,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),"Company Summary
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Job Category
Analytics & Research
Target Openings
1
Travelers Data Scientists are taking the organization to the next level of intelligence by using advanced statistical techniques and machine learning algorithms. As a Data Scientist, you will work with business partners to tell the story using data by identifying challenges and opportunities for data analysis and experiments. You will build models that solve key business challenges and enhance our customer experience."
378,378,National Security Agency,Data Scientist - Development Program,"Fort Meade, MD","$101,589 /yr (est.)",3.5,Unknown,NoFounded,Government,Federal Agencies,Government,Unknown / Non-Applicable,"NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, Data Science is a fundamental discipline and is present in nearly every aspect of the mission. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity and technical expertise to analyze large data sets to inform decision-making against foreign threats. Description of Position: Data science at NSA is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybsersecurity challenges. The Data Science Development Program (DSDP) is a three-year opportunity to develop and enhance your data science skills for an NSA career. Participants experience the breadth of data science at NSA through six- to nine-month assignments in a variety of diverse organizations, and collaborate with NSA's experts in the field of data science. You will have opportunities to attend technical conferences with experts from industry and academia. You will routinely discuss and share NSA's challenges and successes at weekly technical roundtables. You will study data science and related subjects in NSA-taught classes. We foster an environment where you will develop your data science skills, allowing you to quickly contribute to NSA's highest priority mission challenges. Graduates of the DSDP may choose their first permanent assignments from any of the NSA Directorates, depending on availability.
As a Data Scientist at NSA, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Collecting and combining data from multiple sources - Identifying and analyzing anomalous data (including metadata) - Applying scientific methods to data evaluation, performing statistical inference, and data mining - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming -Working collaboratively and iteratively throughout the data-science lifecycle - Developing analytic plans, engineer supporting algorithms, and design and implement solutions which execute analytic plans. - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations"
379,379,Allstate,Senior Data Scientist Manager (Remote - Home Based Worker),"Northbrook, IL","$149,850 /yr (est.)",3.5,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"The world isn’t standing still, and neither is Allstate. We’re moving quickly, looking across our businesses and brands and taking bold steps to better serve customers’ evolving needs. That’s why now is an exciting time to join our team. You’ll have opportunities to take risks, challenge the status quo and shape the future for the greater good.
You’ll do all this in an environment of excellence and the highest ethical standards – a place where values such as integrity, inclusive diversity and accountability are paramount. We empower every employee to lead, drive change and give back where they work and live. Our people are our greatest strength, and we work as one team in service of our customers and communities. Plus, Allstate is changing how, when, and where we work-to lead us boldly into our future. We're empowering our employees to create better ways of working through more intentional use of communication and collaboration practices, processes and tools.
Everything we do at Allstate is driven by a shared purpose: to protect people from life’s uncertainties so they can realize their hopes and dreams. For more than 89 years we’ve thrived by staying a step ahead of whatever’s coming next – to give customers peace of mind no matter what changes they face. We acted with conviction to advocate for seat belts, air bags and graduated driving laws. We help give survivors of domestic violence a voice through financial empowerment. We’ve been an industry leader in pricing sophistication, telematics, digital photo claims and, more recently, device and identity protection. We are the Good Hands. We don’t follow the trends. We set them. Job Family Summary:

Data, Discovery, and Decision Science (D3) is the research and analytics organization at Allstate. In D3, you’ll be surrounded by 360+ tenacious and intellectually curious colleagues in an inclusive culture that encourages you to take risks, challenge the status quo and shape the future for the greater good. We are solving some of today’s most complicated analytics problems, making the lives of our Allstate colleagues easier and more productive, and driving our mission to deliver targeted insurance solutions to our customers. We are partnering to incorporate analytics into every aspect of the enterprise. We are avid about learning new ways to get the most value from our massive data resources and leading-edge technology. We are committed to building an inclusive and diverse team where everyone has an equal opportunity to succeed. We strive to hire people from different backgrounds so that we can better serve our diverse customer needs.


Traditionally, filing an insurance claim consists of a lengthy initial call, followed by a complex experience of several phone calls, emails and paperwork to indemnify the involved parties. This is a time-consuming process and not the type of experience customers have come to expect in 2022. For this reason, Allstate has launched a 3-pronged digital initiative to transform the way that claims are handled:

1. Redesign and simplify the claims process to be customer centric.
2. Provide technology solutions for asynchronous claims handling, allowing customers to interact with Allstate in the manner they prefer, at the time they prefer.
3. Identify and build data science solutions for usage in this new digital process to expedite the handling of the claim and reduce customer effort in completing the process more rapidly.

As a D3 Claims Digital Transformation Manager, you'll be responsible for the data science arm of this transformation. To support this transformation, you'll partner with Allstate teams in solving business problems using data science. You'll work closely with technology and claims to build and execute on a data science roadmap. Claims, technology and data science will work together as one team to accomplish a common goal.

You will lead a diverse team of data scientists, data engineers and business consultants to drive rapid change. In addition to traditional machine learning, your team will also have responsibility for building computer vision and natural language processing models. In the spirit of agile, you will lead the team to quickly develop analytic prototypes, test the prototypes in market, develop the prototypes into full products, deploy the products for widespread usage, and continue iterating on these products.


This job does have supervisory duties. Education and Experience:

Education and Experience
Compensation Data
The compensation range for this position is $119,700 and $180,000 per year, based on experience and qualifications.
The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy. For a full description of Allstate’s benefits, visit allstate.jobs/benefits

Learn more about life at Allstate. Connect with us on Twitter , Facebook , Instagram and LinkedIn or watch a video .

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click “ here ” for information regarding the San Francisco Fair Chance Ordinance.
For jobs in Los Angeles, please click “ here ” for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the “EEO is the Law” poster click “ here ”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs

To view the FMLA poster, click “ here ”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.

It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment."
380,380,The Mom Project,Data Scientist (100% Remote),Remote,$54.22 /hr (est.),4.4,51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Our Customer’s mission is to give people the power to build community and bring the world closer together. Through their family of apps and services, they are building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together.
We are seeking a Data Scientist on a contract basis to help support our Customer’s business needs. This role entails using analytical techniques to drive impact with our cross-functional partners.

What You’ll Do:
Provide analytical support to our cross-functional partners including pull data utilizing SQL and delivering those results via presentations, reporting, or dashboard development
Support product development with thought leadership on how data should be collected, stored, and utilized
Manage requests and priorities independently
Provide documentation of queries/inbound requests for future use
Create new or improve existing dashboards and analyses to support key stakeholders
Communicate results with internal stakeholders
Understand existing data infrastructure and determine if queries are possible to run/share
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques


4+ years of experience in analytics, data science, or similar field
Advanced proficiency in SQL
Experience problem solving and providing business insights and recommendations from data
Ability to manage multiple concurrent projects and drive initiatives in a cross-functional environment
Ability to communicate complex data issues to audiences of different levels of technical expertise
Experience building out large data sets and pipelines
Python or similar scripting experience


Bachelor’s degree in a technical focus area
MBA or graduate degree in a quantitative field


M-F, 40 hours/week. This role will be remote while COVID restrictions are in place. The expectation is to be onsite at our Customer’s Menlo Park ,CA office once it is determined safe to do so.
All applicants applying for U.S. job openings must be legally authorized to work in the United States and are required to have US residency at the time of application.
Perks are available through our 3rd Party Employer of Record (Available upon completion of waiting period for eligible engagements)
Medical, Dental, Vision, 401k, FSA, Commuter Benefit Program
Up to 15 days per 12 months on assignment
Up to $4,000 for the birth or adoption of a child while on assignment (conditions apply)
In order to create a safe, productive work environment, our client is requiring all contractors to be fully vaccinated according to the CDC guidelines (please inform your employer if you need a medical or religious exemption). Prior to onboarding, contractors will be required to attest that they are fully vaccinated. The expected Return to Office date is July 2022"
381,381,Texas Children's Hospital,Data Scientist Senior,"Houston, TX",NoSalary,4.0,10000+ Employees,1954,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),"We are searching for a Senior Data Scientist - someone who works well in a fast-paced setting. In this position, you will provide data analysis and have a major role in the development and implementation of advanced analytic tools to meet the needs of various groups within the organization. This role works with a multidisciplinary team to design, develop, and create analytical solutions through applications of data mining, machine learning, artificial intelligence (AI), and emerging technologies. The Senior Data Scientist is also responsible for evaluating data quality, preparing data, generating insights, and developing and presenting high-impact data stories.
Responsibilities
Generates and communicates business and clinical insights, using various techniques and understanding the strengths and risks of different approaches to data analysis
Builds and tests statistical, optimization, and machine learning models, including regression, classification, clustering, natural language processing, deep learning, and/or statistical modeling"
382,382,Meta,"Data Scientist, AI Machine Learning - Product Analytics",Remote,Visit Meta Website,4.3,10000+ Employees,2004,Company - Public,Internet,Information Technology,$10+ billion (USD),"As a Machine Learning Data Scientist at Meta, you will have the opportunity to do groundbreaking applied machine learning work that will shape the industry and the future of people-facing and business-facing advanced AI solutions we build to solve problems and make user experience better across Meta. Our work spans the spectrum from near-term (working closely with product teams to improve people’s experience within a given half) to medium-term (inventing AI solutions that we then inspire product teams to adopt), to long-term (blue-sky AI research without any specific applications in mind).By applying your Machine Learning/AI knowledge and technical skills, analytical mindset, and product intuition to one of the richest data sets in the world, you will help define the experiences we build for billions of people and hundreds of millions of businesses around the world. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Research, Data Engineering, Marketing, Sales, Finance and others. You will use Machine Learning/AI knowledge, data and analysis to identify and solve advanced AI research and product development’s biggest challenges. You will influence AI research and product strategy and investment decisions with data, be focused on impact, and collaborate with other teams. By joining Meta, you will become part of a world-class analytics community dedicated to skill development and career growth in analytics, data science, machine learning, AI and beyond.About the role:Product leadership: You will use data to understand the product and business ecosystem, quantify new opportunities, identify upcoming challenges, and shape product development to bring value to people, businesses, and Meta. You will help develop strategy and support leadership in prioritizing what to build and setting goals for execution. You will evaluate tradeoffs of shipped features/ML systems, and drive large efforts across multiple teams to reduce technical debt.Analytics: You will guide product teams using data and insights. You will focus on developing hypotheses and employ a diverse toolkit of rigorous analytical approaches, different methodologies, frameworks, and technical approaches including ML to test them. You will research challenging ML questions to inform experimentation and ML development, build and code measurement frameworks, tools, and instrumentation to measure and analyze data used within the ML lifecycle.Communication and influence: You won’t simply present data, but tell data-driven stories. You will convince and influence leaders using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner.














Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
383,383,CyberCoders,REMOTE Senior Data Scientist - Cybersecurity,"Palo Alto, CA","$165,000 /yr (est.)",4.1,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"REMOTE Senior Data Scientist - Cybersecurity
If you are a Senior Data Scientist with experience, please read on!

Headquartered in the Bay Area with remote teams across the nation, we are a booming SaaS startup focusing on cybersecurity solutions! Due to growth and demand for our services, we are urgently looking to add a Senior Data Scientist to our diverse and growing team!
Top Reasons to Work with Us
HUGE opportunity for growth!
Competitive base salary!
Cutting-edge tech!
What You Will Be Doing



All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
384,384,Brooksource,Data Scientist,Remote,$55.00 /hr (est.),4.0,501 to 1000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Finance Technology Data Scientist
Fully Remote
12 Month Contract-to-Hire
Overview:
Our client (Fortune 10) is developing centralized systems, data and tools that provide a streamlined way to manage their business and solve business problems effectively. We are searching for an industry minded Data Scientist who can help shape and mold the data for our company to build data sets/models and systems to drive prescriptive meaning of the data, forecasting capability and even apply machine learning capabilities within our data governance capabilities."
385,385,CyberCoders,Data Scientist,"San Jose, CA","$140,000 /yr (est.)",4.1,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Data Scientist
We are a Series-B, Healthcare Technology company that is making fertility care more affordable, successful, and predictable for women, couples, and families around the world! We offer an AI platform that provides an accurate prediction on the probability of having a baby which then lay's out a realistic cost for treatment. Our services are offered to clinics and customers across the globe!

You will report to the co-founder/CEO and work with our Data Science team. You will perform critical functions including developing, maintaining, and executing ML Ops, data processing, and modeling pipelines. You will also be responsible for generating and investigating ideas for innovative technological solutions to increase the quality of our products and platform, primarily focused on structured health data. You will work with our interdisciplinary team comprising of lead architects, web developers, data scientists, client services teams, program managers, and QA teams to build client-facing solutions.

Candidates with a strong background and knowledge in machine learning applications and statistics to life science or healthcare problems are highly encouraged to apply.
environment.



All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire."
386,386,"Vizient, Inc.",Clinical Data Scientist,Remote,"$127,300 /yr (est.)",4.0,1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.
$102,400.00 - $152,200.00"
387,387,Northrop Grumman,Data Scientist,Maryland,"$126,800 /yr (est.)",4.0,10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Requisition ID: R10030054
Category: Research and Sciences
Location: Unknown City - MD, United States of America
Citizenship Required: United States Citizenship
Clearance Type: None
Telecommute: Yes- May Consider Full Time Teleworking for this position
Shift: 1st Shift (United States of America)
Travel Required: No

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history."
388,388,Engtal,NLP Data Scientist,Remote,"$155,000 /yr (est.)",5.0,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),"Our mission is to bring health, wellbeing, and a bit of magic to every family.
We started by improving children's sleep, and our popular app has 4.9 out of 5.0 stars on the App Store. While we will continue to build out the existing offering, we are excited to broaden our help to families into new areas, in fresh ways that make pediatric expertise accessible to all.
You would join our growing team that includes Berkeley Ph.D.s in computer science and predictive analytics, user-centric designers, and experienced pediatric experts trained in evidence-based practices.
The Opportunity
We are excited to expand the AI and ML team to include a Data Scientist with expertise in Natural Language Processing. The position will help us to expand our capabilities utilizing our large corpus of unstructured text data. The person will be expected to perform duties such as: researching and building machine learning solutions using text data, feature engineering using text data, and developing solutions utilizing state-of-the-art methods for Analytics and Machine Learning. These will allow for AI, ML, and Analytics to use new data types in models and gain insight into our data."
389,389,The HT Group,Senior Data Scientist,"Austin, TX","$140,000 /yr (est.)",4.3,1 to 50 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),"Salary: $130k - 150k per year
Reference: 15509
The HT Group is seeking a Sr. Data Scientist for a Direct hire role in Austin, Texas, or Chicago, IL. This is a hybrid remote/office position, so you must be located in either Austin or Chicago areas.
Essential Functions:
Develop an understanding of the logistics industry as well as our core business functions and processes.
Work closely with key business stakeholders to identify needs, create hypotheses, investigate data science solutions, test results, and work with engineering to put into production.
Collaborate with Product, User Experience, and Engineering departments to execute the company’s technology and data science roadmap."
